,A,aug,sep,oct,s_bar,sq1,sq2,sq3,num,final
0,21563,0,0,0,0,0,0,0,0,#DIV/0!
1,21564,0,0,0,0,0,0,0,0,#DIV/0!
2,21565,0,0,0,0,0,0,0,0,#DIV/0!
3,21566,0,0,0,0,0,0,0,0,#DIV/0!
4,21567,0,0,0,0,0,0,0,0,#DIV/0!
5,21568,0,0,0,0,0,0,0,0,#DIV/0!
6,21569,0,0,0,0,0,0,0,0,#DIV/0!
7,21570,0,0,0,0,0,0,0,0,#DIV/0!
8,21571,0,0,0,0,0,0,0,0,#DIV/0!
9,21572,0,0,0,0,0,0,0,0,#DIV/0!
10,21573,0.217322011273649,0,0,0.0724406704245497,0.0209906029262329,0.00524765073155823,0.00524765073155823,0.0104953014631164,0.144881340849099
11,21574,0,0,0,0,0,0,0,0,#DIV/0!
12,21575,0,0,0,0,0,0,0,0,#DIV/0!
13,21576,0,0,0,0,0,0,0,0,#DIV/0!
14,21577,0,0,0,0,0,0,0,0,#DIV/0!
15,21578,0,0,0,0,0,0,0,0,#DIV/0!
16,21579,0,0.244219050288215,0,0.0814063500960717,0.00662699383596419,0.0265079753438567,0.00662699383596419,0.0132539876719284,0.162812700192143
17,21580,0,0,0,0,0,0,0,0,#DIV/0!
18,21581,0,0,0,0,0,0,0,0,#DIV/0!
19,21582,0,0,0,0,0,0,0,0,#DIV/0!
20,21583,0,0,0,0,0,0,0,0,#DIV/0!
21,21584,0,0,0,0,0,0,0,0,#DIV/0!
22,21585,0,0,0,0,0,0,0,0,#DIV/0!
23,21586,0,0,0,0,0,0,0,0,#DIV/0!
24,21587,0,0,0,0,0,0,0,0,#DIV/0!
25,21588,0,0,0,0,0,0,0,0,#DIV/0!
26,21589,0,0,0,0,0,0,0,0,#DIV/0!
27,21590,0,0,0,0,0,0,0,0,#DIV/0!
28,21591,0,0,0,0,0,0,0,0,#DIV/0!
29,21592,0,0,0,0,0,0,0,0,#DIV/0!
30,21593,0,0,0,0,0,0,0,0,#DIV/0!
31,21594,0,0,0,0,0,0,0,0,#DIV/0!
32,21595,0,0,0,0,0,0,0,0,#DIV/0!
33,21596,0.412697251504221,0,0,0.137565750501407,0.0756973428440615,0.0189243357110154,0.0189243357110154,0.0378486714220307,0.275131501002814
34,21597,0,0,0,0,0,0,0,0,#DIV/0!
35,21598,0,0,0,0,0,0,0,0,#DIV/0!
36,21599,0,0,0,0,0,0,0,0,#DIV/0!
37,21600,0,0,0,0,0,0,0,0,#DIV/0!
38,21601,0,0,0.298343621995776,0.099447873998592,0.00988987964283983,0.00988987964283983,0.0395595185713593,0.0197797592856797,0.198895747997184
39,21602,0,0.244219050288215,0,0.0814063500960717,0.00662699383596419,0.0265079753438567,0.00662699383596419,0.0132539876719284,0.162812700192143
40,21603,0,0,0,0,0,0,0,0,#DIV/0!
41,21604,0,0,0,0,0,0,0,0,#DIV/0!
42,21605,0,0,0,0,0,0,0,0,#DIV/0!
43,21606,0,0,0,0,0,0,0,0,#DIV/0!
44,21607,0,0,0,0,0,0,0,0,#DIV/0!
45,21608,0,0,0,0,0,0,0,0,#DIV/0!
46,21609,0,0,0,0,0,0,0,0,#DIV/0!
47,21610,0,0,0,0,0,0,0,0,#DIV/0!
48,21611,0,0,0,0,0,0,0,0,#DIV/0!
49,21612,0,0,0,0,0,0,0,0,#DIV/0!
50,21613,0,0,0,0,0,0,0,0,#DIV/0!
51,21614,0,0,0,0,0,0,0,0,#DIV/0!
52,21615,0,0,0,0,0,0,0,0,#DIV/0!
53,21616,0,0,0,0,0,0,0,0,#DIV/0!
54,21617,0,0,0,0,0,0,0,0,#DIV/0!
55,21618,0,0,0,0,0,0,0,0,#DIV/0!
56,21619,0,0,0,0,0,0,0,0,#DIV/0!
57,21620,0,0,0,0,0,0,0,0,#DIV/0!
58,21621,0,0,0,0,0,0,0,0,#DIV/0!
59,21622,0,0,0,0,0,0,0,0,#DIV/0!
60,21623,0,0,0,0,0,0,0,0,#DIV/0!
61,21624,0,0,0.230048479280685,0.076682826426895,0.00588025586881731,0.00588025586881731,0.0235210234752692,0.0117605117376346,0.15336565285379
62,21625,0,0,0,0,0,0,0,0,#DIV/0!
63,21626,0,0,0,0,0,0,0,0,#DIV/0!
64,21627,0,0,0,0,0,0,0,0,#DIV/0!
65,21628,0,0,0,0,0,0,0,0,#DIV/0!
66,21629,0,0,0,0,0,0,0,0,#DIV/0!
67,21630,0,0,0,0,0,0,0,0,#DIV/0!
68,21631,0,0,0,0,0,0,0,0,#DIV/0!
69,21632,0,0,0,0,0,0,0,0,#DIV/0!
70,21633,0,0,0,0,0,0,0,0,#DIV/0!
71,21634,0,0,0,0,0,0,0,0,#DIV/0!
72,21635,0,0,0,0,0,0,0,0,#DIV/0!
73,21636,0,0,0,0,0,0,0,0,#DIV/0!
74,21637,0,0,0,0,0,0,0,0,#DIV/0!
75,21638,0,0,0,0,0,0,0,0,#DIV/0!
76,21639,0,0,0,0,0,0,0,0,#DIV/0!
77,21640,0,0,0,0,0,0,0,0,#DIV/0!
78,21641,0,0,0,0,0,0,0,0,#DIV/0!
79,21642,0,0,0,0,0,0,0,0,#DIV/0!
80,21643,0,0,0,0,0,0,0,0,#DIV/0!
81,21644,0,0,0,0,0,0,0,0,#DIV/0!
82,21645,0,0,0,0,0,0,0,0,#DIV/0!
83,21646,0,0,0,0,0,0,0,0,#DIV/0!
84,21647,0,0,0,0,0,0,0,0,#DIV/0!
85,21648,0,0,0,0,0,0,0,0,#DIV/0!
86,21649,0,0,0,0,0,0,0,0,#DIV/0!
87,21650,0,0,0,0,0,0,0,0,#DIV/0!
88,21651,0,0,0,0,0,0,0,0,#DIV/0!
89,21652,0,0,0,0,0,0,0,0,#DIV/0!
90,21653,0,0,0,0,0,0,0,0,#DIV/0!
91,21654,0.217322011273649,0,0,0.0724406704245497,0.0209906029262329,0.00524765073155823,0.00524765073155823,0.0104953014631164,0.144881340849099
92,21655,0.217322011273649,0,0,0.0724406704245497,0.0209906029262329,0.00524765073155823,0.00524765073155823,0.0104953014631164,0.144881340849099
93,21656,0.217322011273649,0,0,0.0724406704245497,0.0209906029262329,0.00524765073155823,0.00524765073155823,0.0104953014631164,0.144881340849099
94,21657,0.217322011273649,0,0,0.0724406704245497,0.0209906029262329,0.00524765073155823,0.00524765073155823,0.0104953014631164,0.144881340849099
95,21658,0.217322011273649,0,0,0.0724406704245497,0.0209906029262329,0.00524765073155823,0.00524765073155823,0.0104953014631164,0.144881340849099
96,21659,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
97,21660,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
98,21661,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
99,21662,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
100,21663,0.217322011273649,0,0,0.0724406704245497,0.0209906029262329,0.00524765073155823,0.00524765073155823,0.0104953014631164,0.144881340849099
101,21664,0.217322011273649,0,0,0.0724406704245497,0.0209906029262329,0.00524765073155823,0.00524765073155823,0.0104953014631164,0.144881340849099
102,21665,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
103,21666,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
104,21667,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
105,21668,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
106,21669,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
107,21670,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
108,21671,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
109,21672,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
110,21673,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
111,21674,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
112,21675,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
113,21676,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
114,21677,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
115,21678,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
116,21679,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
117,21680,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
118,21681,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
119,21682,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
120,21683,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
121,21684,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
122,21685,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
123,21686,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
124,21687,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
125,21688,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
126,21689,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
127,21690,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
128,21691,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
129,21692,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
130,21693,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
131,21694,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
132,21695,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
133,21696,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
134,21697,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
135,21698,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
136,21699,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
137,21700,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
138,21701,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
139,21702,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
140,21703,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
141,21704,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
142,21705,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
143,21706,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
144,21707,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
145,21708,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
146,21709,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
147,21710,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
148,21711,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
149,21712,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
150,21713,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
151,21714,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
152,21715,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
153,21716,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
154,21717,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
155,21718,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
156,21719,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
157,21720,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
158,21721,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
159,21722,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
160,21723,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
161,21724,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
162,21725,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
163,21726,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
164,21727,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
165,21728,0.292285253238629,0,0,0.0974284177462097,0.0379691863381198,0.00949229658452994,0.00949229658452994,0.0189845931690599,0.194856835492419
