,A,sep,oct,s_bar,sq1,sq2,num,final
0,21563,0.0,0.0,0.0,0.0,0.0,0.0,
1,21564,0.0,0.0,0.0,0.0,0.0,0.0,
2,21565,0.0,0.0,0.0,0.0,0.0,0.0,
3,21566,0.0,0.0,0.0,0.0,0.0,0.0,
4,21567,0.0,0.0,0.0,0.0,0.0,0.0,
5,21568,0.0,0.0,0.0,0.0,0.0,0.0,
6,21569,0.0,0.0,0.0,0.0,0.0,0.0,
7,21570,0.0,0.0,0.0,0.0,0.0,0.0,
8,21571,0.0,0.0,0.0,0.0,0.0,0.0,
9,21572,0.0,0.0,0.0,0.0,0.0,0.0,
10,21573,0.0,0.0,0.0,0.0,0.0,0.0,
11,21574,0.0,0.0,0.0,0.0,0.0,0.0,
12,21575,0.0,0.0,0.0,0.0,0.0,0.0,
13,21576,0.0,0.0,0.0,0.0,0.0,0.0,
14,21577,0.0,0.0,0.0,0.0,0.0,0.0,
15,21578,0.0,0.0,0.0,0.0,0.0,0.0,
16,21579,0.244219050288215,0.0,0.1221095251441075,0.014910736130919422,0.014910736130919422,0.014910736130919422,0.1221095251441075
17,21580,0.0,0.0,0.0,0.0,0.0,0.0,
18,21581,0.0,0.0,0.0,0.0,0.0,0.0,
19,21582,0.0,0.0,0.0,0.0,0.0,0.0,
20,21583,0.0,0.0,0.0,0.0,0.0,0.0,
21,21584,0.0,0.0,0.0,0.0,0.0,0.0,
22,21585,0.0,0.0,0.0,0.0,0.0,0.0,
23,21586,0.0,0.0,0.0,0.0,0.0,0.0,
24,21587,0.0,0.0,0.0,0.0,0.0,0.0,
25,21588,0.0,0.0,0.0,0.0,0.0,0.0,
26,21589,0.0,0.0,0.0,0.0,0.0,0.0,
27,21590,0.0,0.0,0.0,0.0,0.0,0.0,
28,21591,0.0,0.0,0.0,0.0,0.0,0.0,
29,21592,0.0,0.0,0.0,0.0,0.0,0.0,
30,21593,0.0,0.0,0.0,0.0,0.0,0.0,
31,21594,0.0,0.0,0.0,0.0,0.0,0.0,
32,21595,0.0,0.0,0.0,0.0,0.0,0.0,
33,21596,0.0,0.0,0.0,0.0,0.0,0.0,
34,21597,0.0,0.0,0.0,0.0,0.0,0.0,
35,21598,0.0,0.0,0.0,0.0,0.0,0.0,
36,21599,0.0,0.0,0.0,0.0,0.0,0.0,
37,21600,0.0,0.0,0.0,0.0,0.0,0.0,
38,21601,0.0,0.298343621995776,0.149171810997888,0.02225222919638962,0.02225222919638962,0.02225222919638962,0.149171810997888
39,21602,0.244219050288215,0.0,0.1221095251441075,0.014910736130919422,0.014910736130919422,0.014910736130919422,0.1221095251441075
40,21603,0.0,0.0,0.0,0.0,0.0,0.0,
41,21604,0.0,0.0,0.0,0.0,0.0,0.0,
42,21605,0.0,0.0,0.0,0.0,0.0,0.0,
43,21606,0.0,0.0,0.0,0.0,0.0,0.0,
44,21607,0.0,0.0,0.0,0.0,0.0,0.0,
45,21608,0.0,0.0,0.0,0.0,0.0,0.0,
46,21609,0.0,0.0,0.0,0.0,0.0,0.0,
47,21610,0.0,0.0,0.0,0.0,0.0,0.0,
48,21611,0.0,0.0,0.0,0.0,0.0,0.0,
49,21612,0.0,0.0,0.0,0.0,0.0,0.0,
50,21613,0.0,0.0,0.0,0.0,0.0,0.0,
51,21614,0.0,0.0,0.0,0.0,0.0,0.0,
52,21615,0.0,0.0,0.0,0.0,0.0,0.0,
53,21616,0.0,0.0,0.0,0.0,0.0,0.0,
54,21617,0.0,0.0,0.0,0.0,0.0,0.0,
55,21618,0.0,0.0,0.0,0.0,0.0,0.0,
56,21619,0.0,0.0,0.0,0.0,0.0,0.0,
57,21620,0.0,0.0,0.0,0.0,0.0,0.0,
58,21621,0.0,0.0,0.0,0.0,0.0,0.0,
59,21622,0.0,0.0,0.0,0.0,0.0,0.0,
60,21623,0.0,0.0,0.0,0.0,0.0,0.0,
61,21624,0.0,0.230048479280685,0.1150242396403425,0.013230575704838939,0.013230575704838939,0.013230575704838939,0.1150242396403425
62,21625,0.0,0.0,0.0,0.0,0.0,0.0,
