,A,jan,feb,s_bar,sq1,sq2,num,final
0,21563,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
1,21564,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
2,21565,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
3,21566,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
4,21567,0.0234541243963882,0.0,0.0117270621981941,0.00013752398780031303,0.00013752398780031303,0.00013752398780031303,0.0117270621981941
5,21568,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
6,21569,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
7,21570,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
8,21571,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
9,21572,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
10,21573,0.0150757992412548,0.0172968886285854,0.0161863439349201,1.233309516628152e-06,1.2333095166281557e-06,1.2333095166281538e-06,7.619444647827087e-05
11,21574,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
12,21575,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
13,21576,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
14,21577,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
15,21578,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
16,21579,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
17,21580,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
18,21581,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
19,21582,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
20,21583,0.0083852077072616,0.0,0.0041926038536308,1.7577927073479838e-05,1.7577927073479838e-05,1.7577927073479838e-05,0.0041926038536308
21,21584,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
22,21585,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
23,21586,0.0150757992412548,0.0172968886285854,0.0161863439349201,1.233309516628152e-06,1.2333095166281557e-06,1.2333095166281538e-06,7.619444647827087e-05
24,21587,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
25,21588,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
26,21589,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
27,21590,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
28,21591,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
29,21592,0.0083852077072616,0.0,0.0041926038536308,1.7577927073479838e-05,1.7577927073479838e-05,1.7577927073479838e-05,0.0041926038536308
30,21593,0.0083852077072616,0.0,0.0041926038536308,1.7577927073479838e-05,1.7577927073479838e-05,1.7577927073479838e-05,0.0041926038536308
31,21594,0.0083852077072616,0.0,0.0041926038536308,1.7577927073479838e-05,1.7577927073479838e-05,1.7577927073479838e-05,0.0041926038536308
32,21595,0.0083852077072616,0.0,0.0041926038536308,1.7577927073479838e-05,1.7577927073479838e-05,1.7577927073479838e-05,0.0041926038536308
33,21596,0.0083852077072616,0.0,0.0041926038536308,1.7577927073479838e-05,1.7577927073479838e-05,1.7577927073479838e-05,0.0041926038536308
34,21597,0.0083852077072616,0.0,0.0041926038536308,1.7577927073479838e-05,1.7577927073479838e-05,1.7577927073479838e-05,0.0041926038536308
35,21598,0.0083852077072616,0.0172968886285854,0.012841048167923499,1.985451421087164e-05,1.9854514210871654e-05,1.9854514210871647e-05,0.0015461755108486818
36,21599,0.0083852077072616,0.0172968886285854,0.012841048167923499,1.985451421087164e-05,1.9854514210871654e-05,1.9854514210871647e-05,0.0015461755108486818
37,21600,0.0083852077072616,0.0,0.0041926038536308,1.7577927073479838e-05,1.7577927073479838e-05,1.7577927073479838e-05,0.0041926038536308
38,21601,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
39,21602,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
40,21603,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
41,21604,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
42,21605,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
43,21606,0.0150757992412548,0.165567337754084,0.0903215684976694,0.005661925790989589,0.005661925790989589,0.005661925790989589,0.06268630942935502
44,21607,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
45,21608,0.0150757992412548,0.0,0.0075378996206274,5.6819930690654704e-05,5.6819930690654704e-05,5.6819930690654704e-05,0.0075378996206274
